Category	LETTER	Group1	Mean1	Group2	Mean2	P-value	Significant
INFORMATION STORAGE AND PROCESSING	J	Group B	255.0	Group C	256.0	1.0	False
INFORMATION STORAGE AND PROCESSING	J	Group B	255.0	Group D	247.5	0.73583506867579	False
INFORMATION STORAGE AND PROCESSING	J	Group C	256.0	Group D	247.5	0.3114798897069987	False
INFORMATION STORAGE AND PROCESSING	A	Group B	2.0	Group C	2.0	1.0	False
INFORMATION STORAGE AND PROCESSING	A	Group B	2.0	Group D	2.1666666666666665	0.7728299926844475	False
INFORMATION STORAGE AND PROCESSING	A	Group C	2.0	Group D	2.1666666666666665	0.7728299926844475	False
INFORMATION STORAGE AND PROCESSING	K	Group B	290.0	Group C	298.5	0.6666666666666666	False
INFORMATION STORAGE AND PROCESSING	K	Group B	290.0	Group D	280.5	0.2405257337730693	False
INFORMATION STORAGE AND PROCESSING	K	Group C	298.5	Group D	280.5	0.2405257337730693	False
INFORMATION STORAGE AND PROCESSING	L	Group B	166.5	Group C	183.5	0.6666666666666666	False
INFORMATION STORAGE AND PROCESSING	L	Group B	166.5	Group D	170.66666666666666	0.8668447264305114	False
INFORMATION STORAGE AND PROCESSING	L	Group C	183.5	Group D	170.66666666666666	0.40184068446548316	False
INFORMATION STORAGE AND PROCESSING	B	Group B	0.0	Group C	0.0	1.0	False
INFORMATION STORAGE AND PROCESSING	B	Group B	0.0	Group D	0.0	1.0	False
INFORMATION STORAGE AND PROCESSING	B	Group C	0.0	Group D	0.0	1.0	False
CELLULAR PROCESSES AND SIGNALING	D	Group B	54.0	Group C	52.5	0.6666666666666666	False
CELLULAR PROCESSES AND SIGNALING	D	Group B	54.0	Group D	52.833333333333336	0.6149621418492248	False
CELLULAR PROCESSES AND SIGNALING	D	Group C	52.5	Group D	52.833333333333336	0.8643947798456604	False
CELLULAR PROCESSES AND SIGNALING	Y	Group B	0.0	Group C	0.0	1.0	False
CELLULAR PROCESSES AND SIGNALING	Y	Group B	0.0	Group D	0.0	1.0	False
CELLULAR PROCESSES AND SIGNALING	Y	Group C	0.0	Group D	0.0	1.0	False
CELLULAR PROCESSES AND SIGNALING	V	Group B	105.0	Group C	97.5	0.6666666666666666	False
CELLULAR PROCESSES AND SIGNALING	V	Group B	105.0	Group D	97.16666666666667	0.40184068446548316	False
CELLULAR PROCESSES AND SIGNALING	V	Group C	97.5	Group D	97.16666666666667	1.0	False
CELLULAR PROCESSES AND SIGNALING	T	Group B	159.0	Group C	160.5	1.0	False
CELLULAR PROCESSES AND SIGNALING	T	Group B	159.0	Group D	156.16666666666666	1.0	False
CELLULAR PROCESSES AND SIGNALING	T	Group C	160.5	Group D	156.16666666666666	1.0	False
CELLULAR PROCESSES AND SIGNALING	M	Group B	285.5	Group C	286.5	1.0	False
CELLULAR PROCESSES AND SIGNALING	M	Group B	285.5	Group D	281.8333333333333	0.8571428571428571	False
CELLULAR PROCESSES AND SIGNALING	M	Group C	286.5	Group D	281.8333333333333	0.8571428571428571	False
CELLULAR PROCESSES AND SIGNALING	N	Group B	97.0	Group C	113.0	0.3333333333333333	False
CELLULAR PROCESSES AND SIGNALING	N	Group B	97.0	Group D	117.66666666666667	0.06513295836533664	False
CELLULAR PROCESSES AND SIGNALING	N	Group C	113.0	Group D	117.66666666666667	0.6149621418492248	False
CELLULAR PROCESSES AND SIGNALING	Z	Group B	0.0	Group C	0.0	1.0	False
CELLULAR PROCESSES AND SIGNALING	Z	Group B	0.0	Group D	0.0	1.0	False
CELLULAR PROCESSES AND SIGNALING	Z	Group C	0.0	Group D	0.0	1.0	False
CELLULAR PROCESSES AND SIGNALING	W	Group B	11.5	Group C	12.0	1.0	False
CELLULAR PROCESSES AND SIGNALING	W	Group B	11.5	Group D	12.666666666666666	1.0	False
CELLULAR PROCESSES AND SIGNALING	W	Group C	12.0	Group D	12.666666666666666	1.0	False
CELLULAR PROCESSES AND SIGNALING	U	Group B	60.5	Group C	51.5	1.0	False
CELLULAR PROCESSES AND SIGNALING	U	Group B	60.5	Group D	63.833333333333336	1.0	False
CELLULAR PROCESSES AND SIGNALING	U	Group C	51.5	Group D	63.833333333333336	0.40184068446548316	False
CELLULAR PROCESSES AND SIGNALING	O	Group B	154.5	Group C	155.0	1.0	False
CELLULAR PROCESSES AND SIGNALING	O	Group B	154.5	Group D	144.33333333333334	0.06513295836533664	False
CELLULAR PROCESSES AND SIGNALING	O	Group C	155.0	Group D	144.33333333333334	0.73583506867579	False
CELLULAR PROCESSES AND SIGNALING	X	Group B	92.5	Group C	129.5	1.0	False
CELLULAR PROCESSES AND SIGNALING	X	Group B	92.5	Group D	87.66666666666667	0.6428571428571428	False
CELLULAR PROCESSES AND SIGNALING	X	Group C	129.5	Group D	87.66666666666667	0.6428571428571428	False
METABOLISM	C	Group B	274.0	Group C	277.5	0.6666666666666666	False
METABOLISM	C	Group B	274.0	Group D	262.5	0.6149621418492248	False
METABOLISM	C	Group C	277.5	Group D	262.5	0.3114798897069987	False
METABOLISM	G	Group B	413.5	Group C	421.0	1.0	False
METABOLISM	G	Group B	413.5	Group D	405.6666666666667	1.0	False
METABOLISM	G	Group C	421.0	Group D	405.6666666666667	0.6149621418492248	False
METABOLISM	E	Group B	360.0	Group C	357.0	1.0	False
METABOLISM	E	Group B	360.0	Group D	341.0	0.06513295836533664	False
METABOLISM	E	Group C	357.0	Group D	341.0	0.6149621418492248	False
METABOLISM	F	Group B	107.5	Group C	108.0	1.0	False
METABOLISM	F	Group B	107.5	Group D	105.66666666666667	0.6038482460673436	False
METABOLISM	F	Group C	108.0	Group D	105.66666666666667	0.6084078002329983	False
METABOLISM	H	Group B	185.5	Group C	185.0	1.0	False
METABOLISM	H	Group B	185.5	Group D	176.33333333333334	0.3024657509187062	False
METABOLISM	H	Group C	185.0	Group D	176.33333333333334	0.6149621418492248	False
METABOLISM	I	Group B	124.0	Group C	126.5	0.6666666666666666	False
METABOLISM	I	Group B	124.0	Group D	122.5	0.6128139489903802	False
METABOLISM	I	Group C	126.5	Group D	122.5	0.8635475816959237	False
METABOLISM	P	Group B	212.5	Group C	212.0	1.0	False
METABOLISM	P	Group B	212.5	Group D	199.83333333333334	0.3114798897069987	False
METABOLISM	P	Group C	212.0	Group D	199.83333333333334	0.6149621418492248	False
METABOLISM	Q	Group B	54.5	Group C	53.5	0.4142161782425251	False
METABOLISM	Q	Group B	54.5	Group D	50.666666666666664	0.06029808713337022	False
METABOLISM	Q	Group C	53.5	Group D	50.666666666666664	0.08568720317038363	False
POORLY CHARACTERIZED	R	Group B	173.5	Group C	167.0	0.6666666666666666	False
POORLY CHARACTERIZED	R	Group B	173.5	Group D	154.5	0.09360570620187439	False
POORLY CHARACTERIZED	R	Group C	167.0	Group D	154.5	0.3144126549787357	False
POORLY CHARACTERIZED	S	Group B	168.0	Group C	171.5	0.6666666666666666	False
POORLY CHARACTERIZED	S	Group B	168.0	Group D	163.83333333333334	0.5024303280245317	False
POORLY CHARACTERIZED	S	Group C	171.5	Group D	163.83333333333334	0.3144126549787357	False
